Msg ID,New Key,Operation,AD Size,Msg Size,Na,Nm,Nc,Nh,Bla,Blm,Blc,Blh,Ina,Inm,Inc,Inh,Actual Execution Time,Actual Latency
1,1,AE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0
2,1,AE,160,0,5,0,0,0,0,0,0,0,0,0,0,0,290,0
3,1,AE,128,0,4,0,0,0,0,0,0,0,0,0,0,0,263,0
4,1,AE,1536,0,48,0,0,0,0,0,0,0,0,0,0,0,1451,0
5,1,AE,64,0,2,0,0,0,0,0,0,0,0,0,0,0,209,0
6,1,AE,16,0,0,0,0,0,16,0,0,0,1,0,0,0,155,0
7,1,AE,0,160,0,5,0,0,0,0,0,0,0,0,0,0,441,1
8,1,AE,0,128,0,4,0,0,0,0,0,0,0,0,0,0,387,1
9,1,AE,0,1536,0,48,0,0,0,0,0,0,0,0,0,0,2763,1
10,1,AE,0,64,0,2,0,0,0,0,0,0,0,0,0,0,279,1
11,1,AE,0,16,0,0,0,0,0,16,0,0,0,1,0,0,182,1
12,1,AE,160,160,5,5,0,0,0,0,0,0,0,0,0,0,576,1
13,1,AE,128,128,4,4,0,0,0,0,0,0,0,0,0,0,495,1
14,1,AE,1536,1536,48,48,0,0,0,0,0,0,0,0,0,0,4059,1
15,1,AE,64,64,2,2,0,0,0,0,0,0,0,0,0,0,333,1
16,1,AE,16,16,0,0,0,0,16,16,0,0,1,1,0,0,182,1
17,1,AD,160,0,5,0,0,0,0,0,0,0,0,0,0,0,290,1
18,1,AD,128,0,4,0,0,0,0,0,0,0,0,0,0,0,263,1
19,1,AD,1536,0,48,0,0,0,0,0,0,0,0,0,0,0,1451,1
20,1,AD,64,0,2,0,0,0,0,0,0,0,0,0,0,0,209,1
21,1,AD,16,0,0,0,0,0,16,0,0,0,1,0,0,0,155,1
22,1,AD,0,160,0,0,5,0,0,0,0,0,0,0,0,0,441,1
23,1,AD,0,128,0,0,4,0,0,0,0,0,0,0,0,0,387,1
24,1,AD,0,1536,0,0,48,0,0,0,0,0,0,0,0,0,2763,1
25,1,AD,0,64,0,0,2,0,0,0,0,0,0,0,0,0,279,1
26,1,AD,0,16,0,0,0,0,0,0,16,0,0,0,1,0,182,1
27,1,AD,160,160,5,0,5,0,0,0,0,0,0,0,0,0,576,1
28,1,AD,128,128,4,0,4,0,0,0,0,0,0,0,0,0,495,1
29,1,AD,1536,1536,48,0,48,0,0,0,0,0,0,0,0,0,4059,1
30,1,AD,64,64,2,0,2,0,0,0,0,0,0,0,0,0,333,1
31,1,AD,16,16,0,0,0,0,16,0,16,0,1,0,1,0,182,1
